[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001788s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002113s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001426s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001623s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.029347s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.029592s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.068014s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.068245s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.001369s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001464s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000762s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001172s ]
